municipality,muni_code,tax_year,millage,land_millage
Aleppo Township,901,2018,3.5,NA
Aleppo Township,901,2019,3.5,NA
Aleppo Township,901,2020,3.5,NA
Aleppo Township,901,2021,3.5,NA
Aleppo Township,901,2022,3.5,NA
Aleppo Township,901,2023,3.5,NA
Aleppo Township,901,2024,3.5,NA
Aleppo Township,901,2025,3.5,NA
Aspinwall Borough,801,2018,5.86,NA
Aspinwall Borough,801,2019,6.86,NA
Aspinwall Borough,801,2020,6.86,NA
Aspinwall Borough,801,2021,6.86,NA
Aspinwall Borough,801,2022,6.86,NA
Aspinwall Borough,801,2023,6.86,NA
Aspinwall Borough,801,2024,8.36,NA
Aspinwall Borough,801,2025,8.36,NA
Avalon Borough,802,2018,9.83,NA
Avalon Borough,802,2019,9.83,NA
Avalon Borough,802,2020,9.83,NA
Avalon Borough,802,2021,9.83,NA
Avalon Borough,802,2022,9.83,NA
Avalon Borough,802,2023,9.83,NA
Avalon Borough,802,2024,9.83,NA
Avalon Borough,802,2025,9.83,NA
Baldwin Borough,877,2018,6.28,NA
Baldwin Borough,877,2019,6.78,NA
Baldwin Borough,877,2020,6.78,NA
Baldwin Borough,877,2021,6.78,NA
Baldwin Borough,877,2022,6.78,NA
Baldwin Borough,877,2023,6.78,NA
Baldwin Borough,877,2024,8.03,NA
Baldwin Borough,877,2025,8.03,NA
Baldwin Township,902,2018,7.8,NA
Baldwin Township,902,2019,7.8,NA
Baldwin Township,902,2020,7.8,NA
Baldwin Township,902,2021,8.8,NA
Baldwin Township,902,2022,9.8,NA
Baldwin Township,902,2023,9.8,NA
Baldwin Township,902,2024,9.8,NA
Baldwin Township,902,2025,9.8,NA
Bell Acres Borough,883,2018,4.32,NA
Bell Acres Borough,883,2019,4.32,NA
Bell Acres Borough,883,2020,4.32,NA
Bell Acres Borough,883,2021,4.32,NA
Bell Acres Borough,883,2022,4.32,NA
Bell Acres Borough,883,2023,4.82,NA
Bell Acres Borough,883,2024,4.82,NA
Bell Acres Borough,883,2025,4.82,NA
Bellevue Borough,803,2018,4.89,NA
Bellevue Borough,803,2019,4.89,NA
Bellevue Borough,803,2020,4.89,NA
Bellevue Borough,803,2021,4.89,NA
Bellevue Borough,803,2022,4.89,NA
Bellevue Borough,803,2023,4.89,NA
Bellevue Borough,803,2024,5.89,NA
Bellevue Borough,803,2025,5.89,NA
Ben Avon Borough,804,2018,4.36,NA
Ben Avon Borough,804,2019,4.35,NA
Ben Avon Borough,804,2020,4.27,NA
Ben Avon Borough,804,2021,5.07,NA
Ben Avon Borough,804,2022,4.92,NA
Ben Avon Borough,804,2023,4.92,NA
Ben Avon Borough,804,2024,4.88,NA
Ben Avon Borough,804,2025,5.5,NA
Ben Avon Heights Borough,805,2018,7.95,NA
Ben Avon Heights Borough,805,2019,7.95,NA
Ben Avon Heights Borough,805,2020,7.95,NA
Ben Avon Heights Borough,805,2021,7.95,NA
Ben Avon Heights Borough,805,2022,7.95,NA
Ben Avon Heights Borough,805,2023,7.95,NA
Ben Avon Heights Borough,805,2024,7.95,NA
Ben Avon Heights Borough,805,2025,7.95,NA
Bethel Park,876,2018,2.53,NA
Bethel Park,876,2019,2.78,NA
Bethel Park,876,2020,2.78,NA
Bethel Park,876,2021,2.78,NA
Bethel Park,876,2022,2.78,NA
Bethel Park,876,2023,2.78,NA
Bethel Park,876,2024,3.53,NA
Bethel Park,876,2025,3.53,NA
Blawnox Borough,806,2018,9.85,NA
Blawnox Borough,806,2019,9.85,NA
Blawnox Borough,806,2020,9.85,NA
Blawnox Borough,806,2021,9.85,NA
Blawnox Borough,806,2022,9.85,NA
Blawnox Borough,806,2023,10.85,NA
Blawnox Borough,806,2024,10.85,NA
Blawnox Borough,806,2025,10.85,NA
Brackenridge Borough,807,2018,6.25,NA
Brackenridge Borough,807,2019,6.25,NA
Brackenridge Borough,807,2020,6.25,NA
Brackenridge Borough,807,2021,6.25,NA
Brackenridge Borough,807,2022,6.25,NA
Brackenridge Borough,807,2023,6.25,NA
Brackenridge Borough,807,2024,6.25,NA
Brackenridge Borough,807,2025,7,NA
Braddock Borough,808,2018,13.65,NA
Braddock Borough,808,2019,13.65,NA
Braddock Borough,808,2020,13.65,NA
Braddock Borough,808,2021,13.65,NA
Braddock Borough,808,2022,13.65,NA
Braddock Borough,808,2023,13.65,NA
Braddock Borough,808,2024,13.65,NA
Braddock Borough,808,2025,13.65,NA
Braddock Hills Borough,872,2018,8.205,NA
Braddock Hills Borough,872,2019,8.205,NA
Braddock Hills Borough,872,2020,8.205,NA
Braddock Hills Borough,872,2021,8.205,NA
Braddock Hills Borough,872,2022,8.205,NA
Braddock Hills Borough,872,2023,8.205,NA
Braddock Hills Borough,872,2024,8.205,NA
Braddock Hills Borough,872,2025,9.4,NA
Bradford Woods Borough,809,2018,2.483,NA
Bradford Woods Borough,809,2019,2.483,NA
Bradford Woods Borough,809,2020,3.375,NA
Bradford Woods Borough,809,2021,3.375,NA
Bradford Woods Borough,809,2022,3.375,NA
Bradford Woods Borough,809,2023,3.375,NA
Bradford Woods Borough,809,2024,3.375,NA
Bradford Woods Borough,809,2025,3.375,NA
Brentwood Borough,810,2018,10,NA
Brentwood Borough,810,2019,10,NA
Brentwood Borough,810,2020,10,NA
Brentwood Borough,810,2021,10,NA
Brentwood Borough,810,2022,10,NA
Brentwood Borough,810,2023,10,NA
Brentwood Borough,810,2024,10,NA
Brentwood Borough,810,2025,10,NA
Bridgeville Borough,811,2018,5.5,NA
Bridgeville Borough,811,2019,8.25,NA
Bridgeville Borough,811,2020,8.25,NA
Bridgeville Borough,811,2021,8.25,NA
Bridgeville Borough,811,2022,8.25,NA
Bridgeville Borough,811,2023,8.25,NA
Bridgeville Borough,811,2024,8.25,NA
Bridgeville Borough,811,2025,8.25,NA
Carnegie Borough,812,2018,6.75,NA
Carnegie Borough,812,2019,6.75,NA
Carnegie Borough,812,2020,6.75,NA
Carnegie Borough,812,2021,6.75,NA
Carnegie Borough,812,2022,7,NA
Carnegie Borough,812,2023,7.25,NA
Carnegie Borough,812,2024,7.5,NA
Carnegie Borough,812,2025,8,NA
Castle Shannon Borough,813,2018,8.385,NA
Castle Shannon Borough,813,2019,9.1789,NA
Castle Shannon Borough,813,2020,9.658,NA
Castle Shannon Borough,813,2021,9.658,NA
Castle Shannon Borough,813,2022,9.658,NA
Castle Shannon Borough,813,2023,9.658,NA
Castle Shannon Borough,813,2024,12.158,NA
Castle Shannon Borough,813,2025,12.158,NA
Chalfant Borough,814,2018,8.4,NA
Chalfant Borough,814,2019,8.4,NA
Chalfant Borough,814,2020,8.9,NA
Chalfant Borough,814,2021,8.9,NA
Chalfant Borough,814,2022,8.9,NA
Chalfant Borough,814,2023,8.9,NA
Chalfant Borough,814,2024,8.9,NA
Chalfant Borough,814,2025,8.9,NA
Cheswick Borough,815,2018,5.85,NA
Cheswick Borough,815,2019,5.85,NA
Cheswick Borough,815,2020,5.85,NA
Cheswick Borough,815,2021,5.85,NA
Cheswick Borough,815,2022,5.85,NA
Cheswick Borough,815,2023,5.85,NA
Cheswick Borough,815,2024,5.85,NA
Cheswick Borough,815,2025,5.85,NA
Churchill Borough,816,2018,6.48,NA
Churchill Borough,816,2019,6.48,NA
Churchill Borough,816,2020,7.48,NA
Churchill Borough,816,2021,8,NA
Churchill Borough,816,2022,8,NA
Churchill Borough,816,2023,8,NA
Churchill Borough,816,2024,8,NA
Churchill Borough,816,2025,9,NA
City of Clairton,200,2018,3.5,33
City of Clairton,200,2019,3.5,33
City of Clairton,200,2020,33,3.5
City of Clairton,200,2021,33,3.5
City of Clairton,200,2022,33,3.5
City of Clairton,200,2023,33,3.5
City of Clairton,200,2024,35,3.5
City of Clairton,200,2025,35,3.5
City of Duquesne,300,2018,13.5,18.5
City of Duquesne,300,2019,13.5,18.5
City of Duquesne,300,2020,20.5,15.5
City of Duquesne,300,2021,20.5,15.5
City of Duquesne,300,2022,20.5,15.5
City of Duquesne,300,2023,20,NA
City of Duquesne,300,2024,20,NA
City of Duquesne,300,2025,20,NA
City of McKeesport,400,2018,6.26,18.5
City of McKeesport,400,2019,6.26,18.5
City of McKeesport,400,2020,20.5,8.26
City of McKeesport,400,2021,20.5,8.26
City of McKeesport,400,2022,20.5,8.26
City of McKeesport,400,2023,20.5,8.26
City of McKeesport,400,2024,20.5,8.26
City of McKeesport,400,2025,20.5,8.26
City of Pittsburgh,100,2018,8.06,NA
City of Pittsburgh,100,2019,8.06,NA
City of Pittsburgh,100,2020,8.06,NA
City of Pittsburgh,100,2021,8.06,NA
City of Pittsburgh,100,2022,8.06,NA
City of Pittsburgh,100,2023,8.06,NA
City of Pittsburgh,100,2024,8.06,NA
City of Pittsburgh,100,2025,8.06,NA
Collier Township,905,2018,3.13,NA
Collier Township,905,2019,4.1,NA
Collier Township,905,2020,4.1,NA
Collier Township,905,2021,4.1,NA
Collier Township,905,2022,4.1,NA
Collier Township,905,2023,4.1,NA
Collier Township,905,2024,4.1,NA
Collier Township,905,2025,3.7,NA
Coraopolis Borough,817,2018,12.5,NA
Coraopolis Borough,817,2019,12.5,NA
Coraopolis Borough,817,2020,12.5,NA
Coraopolis Borough,817,2021,12.5,NA
Coraopolis Borough,817,2022,12.5,NA
Coraopolis Borough,817,2023,12.5,NA
Coraopolis Borough,817,2024,12.5,NA
Coraopolis Borough,817,2025,12.5,NA
Crafton Borough,818,2018,7.59,NA
Crafton Borough,818,2019,7.59,NA
Crafton Borough,818,2020,7.59,NA
Crafton Borough,818,2021,8.59,NA
Crafton Borough,818,2022,8.59,NA
Crafton Borough,818,2023,8.59,NA
Crafton Borough,818,2024,8.59,NA
Crafton Borough,818,2025,8.59,NA
Crescent Township,906,2018,6.4,NA
Crescent Township,906,2019,4.9,NA
Crescent Township,906,2020,4.9,NA
Crescent Township,906,2021,4.9,NA
Crescent Township,906,2022,4.9,NA
Crescent Township,906,2023,7.4,NA
Crescent Township,906,2024,7.4,NA
Crescent Township,906,2025,8.4,NA
Dormont Borough,819,2018,9.97,NA
Dormont Borough,819,2019,9.97,NA
Dormont Borough,819,2020,9.97,NA
Dormont Borough,819,2021,9.97,NA
Dormont Borough,819,2022,9.97,NA
Dormont Borough,819,2023,10.97,NA
Dormont Borough,819,2024,10.97,NA
Dormont Borough,819,2025,10.97,NA
Dravosburg Borough,820,2018,7.55,NA
Dravosburg Borough,820,2019,7.55,NA
Dravosburg Borough,820,2020,7.55,NA
Dravosburg Borough,820,2021,7.55,NA
Dravosburg Borough,820,2022,7.55,NA
Dravosburg Borough,820,2023,7.55,NA
Dravosburg Borough,820,2024,8.55,NA
Dravosburg Borough,820,2025,8.55,NA
East Deer Township,907,2018,4.9,NA
East Deer Township,907,2019,4.9,NA
East Deer Township,907,2020,4.9,NA
East Deer Township,907,2021,4.9,NA
East Deer Township,907,2022,4.9,NA
East Deer Township,907,2023,4.9,NA
East Deer Township,907,2024,4.65,NA
East Deer Township,907,2025,4.65,NA
East McKeesport Borough,821,2018,7.4,NA
East McKeesport Borough,821,2019,7.4,NA
East McKeesport Borough,821,2020,9.4,NA
East McKeesport Borough,821,2021,9.4,NA
East McKeesport Borough,821,2022,9.4,NA
East McKeesport Borough,821,2023,9.4,NA
East McKeesport Borough,821,2024,9.4,NA
East McKeesport Borough,821,2025,12.4,NA
East Pittsburgh Borough,822,2018,13.45,NA
East Pittsburgh Borough,822,2019,13.45,NA
East Pittsburgh Borough,822,2020,13.45,NA
East Pittsburgh Borough,822,2021,13.45,NA
East Pittsburgh Borough,822,2022,13.45,NA
East Pittsburgh Borough,822,2023,13.45,NA
East Pittsburgh Borough,822,2024,13.45,NA
East Pittsburgh Borough,822,2025,13.45,NA
Edgewood Borough,823,2018,7.185,NA
Edgewood Borough,823,2019,7.185,NA
Edgewood Borough,823,2020,7.185,NA
Edgewood Borough,823,2021,7.185,NA
Edgewood Borough,823,2022,7.185,NA
Edgewood Borough,823,2023,7.185,NA
Edgewood Borough,823,2024,7.185,NA
Edgewood Borough,823,2025,7.185,NA
Edgeworth Borough,824,2018,4.15,NA
Edgeworth Borough,824,2019,4.15,NA
Edgeworth Borough,824,2020,4.15,NA
Edgeworth Borough,824,2021,4.15,NA
Edgeworth Borough,824,2022,4.15,NA
Edgeworth Borough,824,2023,4.15,NA
Edgeworth Borough,824,2024,4.15,NA
Edgeworth Borough,824,2025,4.15,NA
Elizabeth Borough,825,2018,8,NA
Elizabeth Borough,825,2019,8,NA
Elizabeth Borough,825,2020,8.5,NA
Elizabeth Borough,825,2021,8.5,NA
Elizabeth Borough,825,2022,10,NA
Elizabeth Borough,825,2023,10,NA
Elizabeth Borough,825,2024,10,NA
Elizabeth Borough,825,2025,10,NA
Elizabeth Township,908,2018,3.926,NA
Elizabeth Township,908,2019,3.926,NA
Elizabeth Township,908,2020,3.926,NA
Elizabeth Township,908,2021,3.926,NA
Elizabeth Township,908,2022,3.926,NA
Elizabeth Township,908,2023,3.926,NA
Elizabeth Township,908,2024,3.926,NA
Elizabeth Township,908,2025,4.026,NA
Emsworth Borough,826,2018,3.93,NA
Emsworth Borough,826,2019,3.955,NA
Emsworth Borough,826,2020,4.955,NA
Emsworth Borough,826,2021,4.955,NA
Emsworth Borough,826,2022,4.955,NA
Emsworth Borough,826,2023,4.955,NA
Emsworth Borough,826,2024,5.955,NA
Emsworth Borough,826,2025,5.955,NA
Etna Borough,827,2018,8.25,NA
Etna Borough,827,2019,9,NA
Etna Borough,827,2020,9,NA
Etna Borough,827,2021,9,NA
Etna Borough,827,2022,9,NA
Etna Borough,827,2023,9,NA
Etna Borough,827,2024,9,NA
Etna Borough,827,2025,9.5,NA
Fawn Township,909,2018,3.04,NA
Fawn Township,909,2019,3.04,NA
Fawn Township,909,2020,3.04,NA
Fawn Township,909,2021,3.04,NA
Fawn Township,909,2022,3.04,NA
Fawn Township,909,2023,3.04,NA
Fawn Township,909,2024,3.04,NA
Fawn Township,909,2025,3.04,NA
Findlay Township,910,2018,1.6,NA
Findlay Township,910,2019,1.6,NA
Findlay Township,910,2020,1.6,NA
Findlay Township,910,2021,1.6,NA
Findlay Township,910,2022,1.6,NA
Findlay Township,910,2023,1.6,NA
Findlay Township,910,2024,1.6,NA
Findlay Township,910,2025,1.6,NA
Forest Hills Borough,828,2018,8,NA
Forest Hills Borough,828,2019,8,NA
Forest Hills Borough,828,2020,8,NA
Forest Hills Borough,828,2021,8,NA
Forest Hills Borough,828,2022,8,NA
Forest Hills Borough,828,2023,8,NA
Forest Hills Borough,828,2024,8,NA
Forest Hills Borough,828,2025,8.75,NA
Forward Township,911,2018,1.95,NA
Forward Township,911,2019,1.95,NA
Forward Township,911,2020,1.95,NA
Forward Township,911,2021,1.95,NA
Forward Township,911,2022,1.95,NA
Forward Township,911,2023,1.95,NA
Forward Township,911,2024,1,NA
Forward Township,911,2025,1,NA
Fox Chapel Borough,868,2018,2.5,NA
Fox Chapel Borough,868,2019,2.95,NA
Fox Chapel Borough,868,2020,2.95,NA
Fox Chapel Borough,868,2021,2.95,NA
Fox Chapel Borough,868,2022,2.95,NA
Fox Chapel Borough,868,2023,2.95,NA
Fox Chapel Borough,868,2024,2.95,NA
Fox Chapel Borough,868,2025,2.95,NA
Franklin Park Borough,884,2018,1.29,NA
Franklin Park Borough,884,2019,1.29,NA
Franklin Park Borough,884,2020,1.29,NA
Franklin Park Borough,884,2021,1.29,NA
Franklin Park Borough,884,2022,1.29,NA
Franklin Park Borough,884,2023,1.29,NA
Franklin Park Borough,884,2024,1.29,NA
Franklin Park Borough,884,2025,1.59,NA
Frazer Township,913,2018,1.42,NA
Frazer Township,913,2019,1.42,NA
Frazer Township,913,2020,1.42,NA
Frazer Township,913,2021,2.5,NA
Frazer Township,913,2022,2.5,NA
Frazer Township,913,2023,3.5,NA
Frazer Township,913,2024,3.5,NA
Frazer Township,913,2025,3.5,NA
Glassport Borough,829,2018,11.99,NA
Glassport Borough,829,2019,11.99,NA
Glassport Borough,829,2020,13.99,NA
Glassport Borough,829,2021,15.49,NA
Glassport Borough,829,2022,15.49,NA
Glassport Borough,829,2023,15.49,NA
Glassport Borough,829,2024,15.49,NA
Glassport Borough,829,2025,17.49,NA
Glen Osborne Borough,846,2018,5.2,NA
Glen Osborne Borough,846,2019,5.2,NA
Glen Osborne Borough,846,2020,4.15,NA
Glen Osborne Borough,846,2021,5.2,NA
Glen Osborne Borough,846,2022,4.9,NA
Glen Osborne Borough,846,2023,4.9,NA
Glen Osborne Borough,846,2024,4.9,NA
Glen Osborne Borough,846,2025,4.9,NA
Glenfield Borough,830,2018,4.15,NA
Glenfield Borough,830,2019,4.15,NA
Glenfield Borough,830,2020,5.2,NA
Glenfield Borough,830,2021,4.15,NA
Glenfield Borough,830,2022,4.15,NA
Glenfield Borough,830,2023,4.15,NA
Glenfield Borough,830,2024,4.15,NA
Glenfield Borough,830,2025,4.15,NA
Green Tree Borough,831,2018,3.61,NA
Green Tree Borough,831,2019,3.61,NA
Green Tree Borough,831,2020,4.61,NA
Green Tree Borough,831,2021,4.61,NA
Green Tree Borough,831,2022,4.61,NA
Green Tree Borough,831,2023,4.61,NA
Green Tree Borough,831,2024,4.61,NA
Green Tree Borough,831,2025,4.61,NA
Hampton Township,914,2018,2.4966,NA
Hampton Township,914,2019,2.9241,NA
Hampton Township,914,2020,2.9241,NA
Hampton Township,914,2021,2.9241,NA
Hampton Township,914,2022,2.9241,NA
Hampton Township,914,2023,2.9241,NA
Hampton Township,914,2024,2.9241,NA
Hampton Township,914,2025,2.9241,NA
Harmar Township,915,2018,3.45,NA
Harmar Township,915,2019,3.45,NA
Harmar Township,915,2020,3.45,NA
Harmar Township,915,2021,2.9,NA
Harmar Township,915,2022,3.15,NA
Harmar Township,915,2023,3.15,NA
Harmar Township,915,2024,3.15,NA
Harmar Township,915,2025,3.15,NA
Harrison Township,916,2018,5.106,NA
Harrison Township,916,2019,5.106,NA
Harrison Township,916,2020,5.106,NA
Harrison Township,916,2021,5.106,NA
Harrison Township,916,2022,5.106,NA
Harrison Township,916,2023,5.106,NA
Harrison Township,916,2024,5.106,NA
Harrison Township,916,2025,5.606,NA
Haysville Borough,832,2018,4.6095,NA
Haysville Borough,832,2019,4.6095,NA
Haysville Borough,832,2020,4.8399,NA
Haysville Borough,832,2021,5.08,NA
Haysville Borough,832,2022,5.08,NA
Haysville Borough,832,2023,5.5,NA
Haysville Borough,832,2024,5.775,NA
Haysville Borough,832,2025,6.063,NA
Heidelberg Borough,833,2018,6.95,NA
Heidelberg Borough,833,2019,7.95,NA
Heidelberg Borough,833,2020,7.95,NA
Heidelberg Borough,833,2021,7.95,NA
Heidelberg Borough,833,2022,7.95,NA
Heidelberg Borough,833,2023,7.95,NA
Heidelberg Borough,833,2024,7.95,NA
Heidelberg Borough,833,2025,9.45,NA
Homestead Borough,834,2018,13.33,NA
Homestead Borough,834,2019,13.33,NA
Homestead Borough,834,2020,13.33,NA
Homestead Borough,834,2021,13.33,NA
Homestead Borough,834,2022,13.33,NA
Homestead Borough,834,2023,15.33,NA
Homestead Borough,834,2024,15.33,NA
Homestead Borough,834,2025,15.33,NA
Indiana Township,917,2018,3.47,NA
Indiana Township,917,2019,3.47,NA
Indiana Township,917,2020,3.47,NA
Indiana Township,917,2021,3.47,NA
Indiana Township,917,2022,3.47,NA
Indiana Township,917,2023,3.47,NA
Indiana Township,917,2024,3.47,NA
Indiana Township,917,2025,3.47,NA
Ingram Borough,835,2018,5.9,NA
Ingram Borough,835,2019,5.9,NA
Ingram Borough,835,2020,5.9,NA
Ingram Borough,835,2021,5.9,NA
Ingram Borough,835,2022,5.9,NA
Ingram Borough,835,2023,5.9,NA
Ingram Borough,835,2024,5.9,NA
Ingram Borough,835,2025,6.4,NA
Jefferson Hills Borough,878,2018,5.66,NA
Jefferson Hills Borough,878,2019,5.66,NA
Jefferson Hills Borough,878,2020,5.66,NA
Jefferson Hills Borough,878,2021,5.66,NA
Jefferson Hills Borough,878,2022,5.66,NA
Jefferson Hills Borough,878,2023,5.66,NA
Jefferson Hills Borough,878,2024,5.66,NA
Jefferson Hills Borough,878,2025,5.66,NA
Kennedy Township,919,2018,2.25,NA
Kennedy Township,919,2019,2.25,NA
Kennedy Township,919,2020,2.35,NA
Kennedy Township,919,2021,2.35,NA
Kennedy Township,919,2022,2.35,NA
Kennedy Township,919,2023,2.35,NA
Kennedy Township,919,2024,2.5,NA
Kennedy Township,919,2025,2.5,NA
Kilbuck Township,920,2018,4.9,NA
Kilbuck Township,920,2019,4.9,NA
Kilbuck Township,920,2020,4.9,NA
Kilbuck Township,920,2021,4.9,NA
Kilbuck Township,920,2022,4.9,NA
Kilbuck Township,920,2023,4.29,NA
Kilbuck Township,920,2024,3.79,NA
Kilbuck Township,920,2025,3.79,NA
Leet Township,921,2018,6.7,NA
Leet Township,921,2019,7.7,NA
Leet Township,921,2020,7.7,NA
Leet Township,921,2021,7.7,NA
Leet Township,921,2022,7.7,NA
Leet Township,921,2023,7.7,NA
Leet Township,921,2024,7.7,NA
Leet Township,921,2025,9.1,NA
Leetsdale Borough,836,2018,10,NA
Leetsdale Borough,836,2019,10,NA
Leetsdale Borough,836,2020,10,NA
Leetsdale Borough,836,2021,10,NA
Leetsdale Borough,836,2022,9,NA
Leetsdale Borough,836,2023,9,NA
Leetsdale Borough,836,2024,9,NA
Leetsdale Borough,836,2025,9,NA
